journal,name_short
Design Automation Conference,DAC
International Conference on Computer-Aided Design,ICCAD
International Conference on Computer Aided Design,ICCAD
Design Automation and Test in Europe,DATE
"Design, Automation and Test in Europe",DATE
Asia and South Pacific Design Automation Conference,ASP-DAC
Transactions on Computer-Aided Design,TCAD
International Solid-State Circuits Conference,ISSCC
"International Solid- State Circuits Conference",ISSCC
International Conference on Computer Aided Design,ICCAD
Symposium on VLSI Circuits,VLSI
Journal of Solid-State Circuits,JSSC
Journal on Emerging and Selected Topics in Circuits and Systems,JETCAS
Transactions on Very Large Scale Integration,TVLSI
Transactions on Circuits and Systems,TCAS
International Symposium on Computer Architecture,ISCA
Micro,MICRO
Architectural Support for Programming Languages and Operating Systems,ASPLOS
International Symposium on High-Performance Computer Architecture,HPCA
International Symposium on High Performance Computer Architecture,HPCA
Symposium on Field Programmable Gate Arrays,FPGA
Symposium on Programming Language Design and Implementation,PLDI
International Symposium on Code Generation and Optimization,CGO
Hot Chips,HCS
International Conference on Parallel Architectures and Compilation Techniques,PACT
International Symposium on Field-Programmable Custom Computing Machines,FCCM
IEEE Symposium on Field-Programmable Custom Computing Machines,FCCM
Transactions on Architecture and Code Optimization,TACO
International Symposium on Performance Analysis of Systems and Software,ISPASS
International Conference on Compiler Construction,CC
IEEE transactions on computers,TC
"Design, Automation & Test in Europe Conference & Exhibition",DATE
"Symposium on Computer Architecture and High Performance Computing",SBAC-PAD
International Conference on Information Communication and Management,ICICM
